"Date","Open","High","Low","Close"
"Nov 24, 2020","$971.48","$971.48","$971.48","$971.48"
"Nov 23, 2020","$946.65","$946.65","$938.59","$938.59"
"Nov 19, 2020","$962.54","$962.54","$962.54","$962.54"
"Nov 18, 2020","$953.74","$953.74","$953.74","$953.74"
"Nov 17, 2020","$938.10","$938.10","$938.10","$938.10"
"Nov 16, 2020","$937.30","$937.30","$937.30","$937.30"
"Nov 13, 2020","$901.79","$902.35","$900.82","$900.82"
"Nov 12, 2020","$879.52","$891.49","$879.52","$891.49"
"Nov 11, 2020","$890.03","$890.03","$877.10","$877.10"
"Nov 10, 2020","$887.63","$895.02","$885.14","$895.02"
"Nov 09, 2020","$893.24","$893.24","$877.40","$877.40"
"Nov 06, 2020","$909.71","$909.71","$909.71","$909.71"
"Nov 05, 2020","$893.84","$906.36","$893.84","$906.36"
"Nov 04, 2020","$882.24","$882.24","$881.71","$881.71"
"Nov 03, 2020","$883.93","$883.93","$878.96","$878.96"
"Nov 02, 2020","$863.01","$871.36","$863.01","$870.81"
"Oct 30, 2020","$861.28","$861.28","$855.97","$855.97"
"Oct 29, 2020","$883.24","$883.24","$857.06","$857.06"
"Oct 28, 2020","$878.62","$878.62","$878.62","$878.62"
"Oct 27, 2020","$890.22","$891.72","$889.16","$891.72"
"Oct 26, 2020","$898.29","$898.29","$883.29","$883.29"
"Oct 23, 2020","$897.54","$913.19","$897.54","$913.19"
"Oct 22, 2020","$901.64","$901.64","$895.75","$895.75"
"Oct 21, 2020","$891.24","$898.74","$891.24","$898.74"
"Oct 20, 2020","$870.67","$885.24","$870.67","$885.24"
"Oct 19, 2020","$886.17","$886.17","$870.11","$870.11"
"Oct 16, 2020","$873.27","$873.79","$871.15","$871.15"
"Oct 15, 2020","$870.27","$876.32","$864.72","$876.32"
"Oct 14, 2020","$879.97","$879.97","$870.10","$870.10"
"Oct 13, 2020","$884.33","$884.33","$877.09","$877.09"
"Oct 12, 2020","$895.99","$896.29","$886.83","$886.83"
"Oct 09, 2020","$891.37","$898.80","$891.37","$898.80"
"Oct 08, 2020","$876.04","$876.04","$875.62","$875.62"
"Oct 07, 2020","$879.85","$879.85","$876.88","$876.88"
"Oct 06, 2020","$902.53","$902.53","$863.50","$863.50"
"Oct 05, 2020","$886.56","$909.26","$886.56","$909.26"
